slug,section_title,step_title,body,sort
sleepless,SLEEPLESS Manual,설치하기,GitHub Releases 또는 MAC OS용 다운로드 버튼에서 Apple Silicon Mac용 DMG를 받은 뒤 Sleepless.app을 Applications 폴더로 옮겨주세요.,1
sleepless,SLEEPLESS Manual,처음 실행 허용하기,"개인이 테스트 배포하는 빌드라 아직 Apple 공식 개발자 서명과 공증이 적용되어 있지 않습니다. 안전한 배포 절차를 준비 중이니 처음 실행 시 macOS 보안 안내가 나타날 수 있습니다. 먼저 Done을 눌러 경고창을 닫고, System Settings > Privacy & Security에서 Open Anyway를 선택해주세요. 완료를 누른 뒤 시스템 설정 > 개인정보 보호 및 보안에서 그래도 열기를 선택하면 실행할 수 있습니다. macOS 버전에 따라 버튼 이름이 조금 다를 수 있습니다.",2
sleepless,SLEEPLESS Manual,전원 연결 확인하기,SLEEPLESS는 AC 전원 연결 상태에서만 awake mode를 켤 수 있습니다. 전원이 빠지면 배터리 보호를 위해 모드가 자동으로 종료됩니다.,3
sleepless,SLEEPLESS Manual,잠자기 방지 켜기,메뉴바의 8bit 유령 아이콘에서 잠자기 방지를 켭니다. 처음 켤 때는 closed-lid sleep 제어를 위한 관리자 인증이 한 번 필요할 수 있습니다.,4
sleepless,SLEEPLESS Manual,유지 시간 고르기,"닫힌 상태 유지 시간을 10분, 30분, 1시간, 영구 중에서 고를 수 있습니다. 뚜껑을 닫으면 밝기를 0으로 낮추고, 다시 열거나 모드를 끄면 이전 밝기를 복구합니다.",5
sleepless,SLEEPLESS Manual,문제 시 복구하기,앱이 비정상 종료된 뒤 닫힘 잠자기가 돌아오지 않으면 터미널에서 sudo pmset -c disablesleep 0 명령으로 macOS 기본 전원 설정을 복구할 수 있습니다.,6
ffmochi,ffMOCHI Manual,설치하기,MAC OS용 다운로드 버튼에서 ffMOCHI-local.dmg를 받은 뒤 ffMOCHI.app을 Applications 폴더로 드래그해주세요.,1
ffmochi,ffMOCHI Manual,처음 실행 허용하기,"개인이 테스트 배포하는 빌드라 아직 Apple 공식 개발자 서명과 공증이 적용되어 있지 않습니다. 안전한 배포 절차를 준비 중이니 처음 실행 시 macOS 보안 안내가 나타날 수 있습니다. 먼저 Done을 눌러 경고창을 닫고, System Settings > Privacy & Security에서 Open Anyway를 선택해주세요. 완료를 누른 뒤 시스템 설정 > 개인정보 보호 및 보안에서 그래도 열기를 선택하면 실행할 수 있습니다. macOS 버전에 따라 버튼 이름이 조금 다를 수 있습니다.",2
ffmochi,ffMOCHI Manual,FFmpeg 준비하기,ffMOCHI는 로컬 FFmpeg로 영상을 압축합니다. 앱에 설치 안내가 보이면 Homebrew에서 brew install ffmpeg를 실행한 뒤 CHECK AGAIN을 눌러주세요.,3
ffmochi,ffMOCHI Manual,영상 넣고 시작하기,MP4 MOV M4V 파일을 앱 창에 드래그하거나 앱 아이콘 위에 드롭한 뒤 프리셋을 고르고 START를 누르면 압축이 시작됩니다.,4
ffmochi,ffMOCHI Manual,출력 확인하기,완료된 파일은 원본 옆에 OriginalName_compressed.mp4 형태로 저장됩니다. 같은 이름이 있으면 _compressed_001.mp4처럼 번호를 붙여 덮어쓰지 않습니다.,5
ffmochi,ffMOCHI Manual,문제 시 확인하기,"압축이 실패하면 FFmpeg 설치, 지원 파일 형식, 출력 폴더 권한, 디스크 공간을 확인해주세요. Default MP4로 다시 시도하기 전 일부만 만들어진 _compressed.mp4 파일이 남아 있으면 삭제하는 것이 좋습니다.",6
jebi-agent,JEBI AGENT Tutorial,왜 필요한가,"긴 코딩 채팅이 무거워지고 컨텍스트가 길어져 결정이 묻히기 시작할 때 씁니다. Fork는 너무 많은 history를 복사하고, 완전히 새로 시작하면 맥락을 잃습니다. JEBI는 그 중간 지점에서 현재 작업 상태만 압축해 새 채팅으로 넘깁니다.",1
jebi-agent,JEBI AGENT Tutorial,설치와 발동,"가장 쉬운 설치 방법은 GitHub 주소와 README를 에이전트에게 전달하는 것입니다. 단, 주소만 주는 방식은 해당 대화 안에서 읽고 따라 하는 것에 가깝습니다. 다음 대화에서도 자동으로 JEBI가 발동되게 하려면 사용하는 도구가 지원하는 Skills, 프로젝트 지침, custom instruction 중 하나에 등록해야 합니다.

PROMPT: https://github.com/kyutomatte/jebi_agent 확인하고 README.md 기준으로 설치와 사용 방법을 알려주세요.",2
jebi-agent,JEBI AGENT Tutorial,환경별 설치 방법,"환경|가장 쉬운 방법|계속 쓰는 방법|발동 문구
ChatGPT / GPT|GitHub 주소와 README.md를 읽어 달라고 합니다.|지원되는 Skills/프로젝트 지침 환경이면 Skill 폴더 또는 SKILL.md 핵심 규칙을 등록하고, 일반 ChatGPT/GPT에서는 Custom Instructions, GPT 지침, 프로젝트 지침에 핵심 규칙을 붙입니다.|$jebi 또는 제비로 옮겨주세요
Codex|이 repo를 clone한 뒤 README의 Codex 설치 절차를 따릅니다.|~/.codex/skills/jebi-agent와 ~/.codex/skills/jebi에 Skill 폴더를 둡니다. 프로젝트별로 항상 인식시키고 싶다면 AGENTS.md에 JEBI 호출 규칙을 추가해도 됩니다.|$jebi 또는 제비로 옮겨주세요
Claude 앱|GitHub 주소를 주고 이번 대화에서 따라 하게 합니다.|Skill 업로드 UI가 있는 환경에서만 Skill 폴더를 업로드합니다. 없으면 Project knowledge나 custom instruction에 SKILL.md 핵심을 넣습니다.|jebi-agent skill을 써줘 또는 제비/JEBI handoff로 옮겨줘
Claude Code|이 repo를 clone한 뒤 터미널 설치 명령을 실행합니다.|~/.claude/skills/jebi-agent 또는 프로젝트 .claude/skills/jebi-agent에 Skill 폴더를 둡니다.|/jebi-agent
Gemini CLI|GitHub 주소 또는 SKILL.md 내용을 읽게 합니다.|scripts/install-skill.sh gemini를 실행하면 .toml 기반 custom command를 설치합니다. 필요하면 /commands reload를 실행합니다.|/jebi 또는 /jebi 현재 작업을 새 채팅으로 옮겨줘
기타 LLM|GitHub 주소를 주고 README.md를 따라 하게 합니다.|system/custom instruction, 프로젝트 지침, 지식 베이스에 SKILL.md 핵심을 넣습니다.|JEBI 모드로 정리해줘",3
jebi-agent,JEBI AGENT Tutorial,터미널 설치,"터미널에서 쓰는 에이전트는 설치 스크립트가 가장 단순합니다.

CMD: scripts/install-skill.sh codex
scripts/install-skill.sh claude
scripts/install-skill.sh gemini
scripts/install-skill.sh cursor

전부 설치하려면:

CMD: scripts/install-skill.sh all

Gemini CLI에서 스킬 폴더를 바로 읽지 못하는 환경이면 custom command를 씁니다.

CMD: scripts/install-skill.sh gemini

Gemini와 Cursor는 best-effort adapter입니다.

지침, custom command, 프로젝트 rule은 설치할 수 있지만 Codex Desktop thread API가 생기지는 않습니다.",4
jebi-agent,JEBI AGENT Tutorial,호출 예시,"유형|예시|설명
실행어 호출 예시|$jebi|현재 작업을 새 Codex 채팅으로 넘기는 JEBI handoff를 시작합니다.
실행어 호출 예시|$jebi-agent|동일하게 JEBI AGENT를 명시 호출합니다.
자연어 호출 예시|제비로 옮겨주세요|지금 작업을 깔끔한 새 채팅으로 이어가려는 요청으로 인식합니다.
자연어 호출 예시|제비로 인수인계해줘|handoff 파일을 만들고 다음 에이전트가 이어받도록 준비합니다.
자연어 호출 예시|제비 출발|짧은 명령형 요청으로 JEBI 절차를 시작합니다.
자연어 호출 예시|새 채팅으로 제비 보내줘|새 successor chat을 만들려는 의도가 분명할 때 작동합니다.
오작동 방지|파일명 jebi 또는 동물 제비 이야기|새 채팅 이동 의도가 없으면 실행하지 않습니다.",5
jebi-agent,JEBI AGENT Tutorial,자동으로 넘기는 정보,"JEBI는 현재 repository, branch, HEAD, worktree 상태를 먼저 확인합니다.

handoff에는 전체 diff가 아니라 변경 파일 요약, 완료한 일과 남은 일, 중요한 결정, 바꾸면 안 되는 내용이 들어갑니다.

test/build/lint/typecheck 상태, 적용되는 AGENTS.md 지침, known failure recovery note도 함께 정리합니다.",6
jebi-agent,JEBI AGENT Tutorial,작동 방식,"실행되면 .codex/handoffs/NNN-handoff.md를 만들고 latest.md를 갱신합니다.

state.json은 retry와 numbering을 위한 로컬 상태로 남깁니다.

Codex Desktop에서는 fork가 아니라 thread/start 또는 공식 thread tool로 clean successor chat을 만듭니다.

새 채팅에는 handoff 경로와 확인 지시만 보냅니다.",7
jebi-agent,JEBI AGENT Tutorial,새 채팅 이름,"새 채팅 이름은 프로젝트 폴더명이 아니라 현재 작업 제목을 기준으로 붙입니다. 예를 들어 UI UX에서 처음 옮기면 UI UX #02가 됩니다.

거기서 다시 옮기면 UI UX #02 #02가 아니라 UI UX #03이 됩니다.

제목을 읽을 수 없으면 project name으로 대체하지 않습니다.",8
jebi-agent,JEBI AGENT Tutorial,새 채팅에서 먼저 하는 일,"successor 에이전트는 handoff 파일을 읽고 실제 repo와 비교합니다.

브랜치, 워킹트리, 변경 파일, 누락된 맥락이 맞는지 확인하고, 불일치가 있으면 먼저 보고합니다.

그 전에는 파일을 수정하지 않고 사용자 지시를 기다립니다.",9
jebi-agent,JEBI AGENT Tutorial,Dirty 상태 다루기,"JEBI는 .codex/handoffs 안에 markdown handoff를 만들기 때문에 실행 직후 dirty 상태가 생길 수 있습니다.

handoff만 바뀌었다면 Clean except JEBI handoff artifacts로 보고합니다.

실제 프로젝트 변경과 섞여 있다면 Dirty: project changes + JEBI handoff artifacts로 구분합니다.",10
jebi-agent,JEBI AGENT Tutorial,주의점,"JEBI는 fork가 아닙니다. 현재 채팅을 복제하는 대신 clean successor chat을 시작합니다.

전체 이전 채팅 history를 복사하지 않고, AppleScript, 화면 좌표 클릭, 내부 DB 수정, undocumented UI API 같은 우회도 쓰지 않아야 합니다.

실제 저장소 상태가 대화 기억보다 우선입니다.",11
jebi-agent,JEBI AGENT Tutorial,보안 규칙,"handoff에는 API keys, tokens, cookies, authorization headers, .env values 같은 민감한 정보를 넣지 않습니다.

의심되는 값은 REDACTED로 치환합니다.

파괴적인 git 명령은 사용자 승인 없이 실행하지 않고, 새 채팅이 보이지 않으면 성공으로 말하지 않습니다.",12
jebi-agent,JEBI AGENT Tutorial,테스트와 삭제,"개발자는 python3 -m unittest discover -s tests -v로 루트 테스트를 돌립니다.

Skill 번들 테스트는 python3 -m unittest discover -s skill/jebi-agent/tests -v로 확인합니다.

삭제할 때는 rm -rf ~/.codex/skills/jebi-agent 와 rm -rf ~/.codex/skills/jebi를 실행합니다. 프로젝트의 handoff 파일은 별도로 남습니다.",13
