id,overview,artist,category,year,url,text
blackpink-go,true,BLACKPINK,Music Video,2026,,GO' M/V
babymonster-ilikeit,true,BABYMONSTER,Music Video,2026,,I LIKE IT' M/V
babymonster-choom,true,BABYMONSTER,Music Video,2026,,CHOOM' M/V
babymonster-choom-album,true,BABYMONSTER,Album,2026,"https://i.pinimg.com/736x/73/c6/a3/73c6a3cdfb860a65c64680bdada10a14.jpg
https://i.pinimg.com/736x/4f/e8/d5/4fe8d5549a585d74af25db1db208a430.jpg",3rd Mini Album 'CHOOM'
babymonster-psycho,true,BABYMONSTER,Music Video,2025,,PSYCHO' M/V
babymonster-psycho-pv,true,BABYMONSTER,Music Video,2025,,PSYCHO' P/V
babymonster-we-go-up,true,BABYMONSTER,Music Video,2025,,WE GO UP' M/V
babymonster-we-go-up-album,true,BABYMONSTER,Album,2025,https://i.pinimg.com/736x/bc/67/ab/bc67ab391e677a71c533723b014e6fe3.jpg,2rd Mini Album 'WE GO UP'
babymonster-hot-sauce,true,BABYMONSTER,Music Video,2025,,HOT SAUCE' M/V
babymonster-billionaire-pv,true,BABYMONSTER,Music Video,2025,,Billionaire' P/V
babymonster-really-like-you,true,BABYMONSTER,Music Video,2025,,Really Like You' M/V
enhypen-romance-untold-daydream,true,ENHYPEN,Album,2024,,Repackage for 2nd album 'ROMANCE : UNTOLD -daydream-'
enhypen-daydream,true,ENHYPEN,Music Video,2024,,Daydream' Track Video
enhypen-brought-the-heat-back,true,ENHYPEN,Music Video,2024,,Brought the Heat Back' M/V
enhypen-XO,true,ENHYPEN,Music Video,2024,,XO' M/V
enhypen-concept-cinema,true,ENHYPEN,Music Video,2024,,UNTOLD' Concept Cinema
enhypen-romance-untold-preview,true,ENHYPEN,Music Video,2024,,ROMANCE : UNTOLD' Preview
enhypen-romance-untold-album,true,ENHYPEN,Album,2024,,2nd Album 'ROMANCE : UNTOLD'
vfx-2026-showreel,true,AI Works / 3D,AI Works / 3D,2026,,Personal Work - FULL AI
vfx-2026-kyuto-butterflyland,true,AI Works / 3D,AI Works / 3D,2026,,[KYUTO TURNS 31 FILM #01] - FULL AI
vfx-2026-kyuto-rabbit,true,AI Works / 3D,AI Works / 3D,2026,,[KYUTO TURNS 31 FILM #02] - FULL AI
vfx-2026-kyuto-cafe,true,AI Works / 3D,AI Works / 3D,2026,,[KYUTO TURNS 31 FILM #03] - FULL AI
vfx-2026-aespaphoto,true,AI Works / 3D,AI Works / 3D,2026,,[Aespa] - AUGMENTED FULL AI GRAPHIC
vfx-2026-lunanewyear,true,AI Works / 3D,AI Works / 3D,2026,,[Lunar New Year] - FULL AI
vfx-2026-bangbang,false,AI Works / 3D,AI Works / 3D,2026,,Personal Work - AI VFX
vfx-2026-lesserafim,false,AI Works / 3D,AI Works / 3D,2026,,Personal Work - AI VFX
vfx-2026-newjeans,false,AI Works / 3D,AI Works / 3D,2026,,Personal Work - AI VFX
vfx-2026-cortis-redred,false,AI Works / 3D,AI Works / 3D,2026,,Personal Work - AI VFX
vfx-2026-iyodrama,false,AI Works / 3D,AI Works / 3D,2026,,Personal Work - AI VFX
vfx-2025-nike,1,AI Works / 3D,AI Works / 3D,2026,,[NIKE] - FULL 3D
vfx-2025-xg,1,AI Works / 3D,AI Works / 3D,2025,,[Something Ain’t Right] - FULL 3D
vfx-2025-aesop,1,AI Works / 3D,AI Works / 3D,2025,,[Aesop] - 3D Comp
vfx-2025-kiiikiii,1,AI Works / 3D,AI Works / 3D,2025,,[BTG] - FULL 3D
vfx-2025-vivienne,1,AI Works / 3D,AI Works / 3D,2025,,[Vivienne Westwood] - FULL 3D
ohir-brand-film,true,OHIR,AI Works / 3D,2026,,‘OHIR' BRAND FILM - FULL AI
ohir-brand-filmalter,1,OHIR,AI Works / 3D,2026,,‘OHIR' BRAND FILM(ALTERS) - FULL AI
ojat-styling-01,true,OJAT,Fashion,2023,,VISUAL DIRECTING for EDITORIAL
ojat-lookbook-2021,true,OJAT,Fashion,2021,,'OJAT' 21' LOOKBOOK
ojat-lookbook-2021-editorial,true,OJAT,Fashion,2021,,‘OJAT' 21' EDITORIAL
ojat-lookbook-2021-development,true,OJAT,Fashion,2021,,‘OJAT' 21' DEVELOPMENT
ojat-lookbook-2020,true,OJAT,Fashion,2020,,‘OJAT' 20’ LOOKBOOK
ojat-lookbook-2020-editorial,true,OJAT,Fashion,2020,,‘OJAT' 20’ EDITORIAL
ojat-lookbook-2020-development,true,OJAT,Fashion,2020,,‘OJAT' 20' DEVELOPMENT
ojat-magazine-pap,true,OJAT,Fashion,2021,,VISAUL for 'PAP Magazine' - In the Name of Love
ojat-magazine-papalter,true,OJAT,Fashion,2021,,VISUAL for ‘In the Name of Love’ EDITORIAL
ojat-magazine-babyyana,true,OJAT,Fashion,2021,,OJAT for BABY YANA @M/V
ojat-magazine-yunwhay,true,OJAT,Fashion,2021,,OJAT for YUNWHAY
ojat-magazine-chorong,true,OJAT,Fashion,2021,,OJAT for Chorong(Apink)
ojat-magazine-nain,true,OJAT,Fashion,2021,,OJAT for NAIN @BREAK MAGAZINE
ojat-magazine-schön,true,OJAT,Fashion,2022,,OJAT for SCHÖN! MAGAZINE
ojat-magazine-yena,true,OJAT,Fashion,2022,,OJAT for YENA @MAPS
ojat-magazine-jerd,true,OJAT,Fashion,2022,,OJAT for JERD @NAVER ONstage
ojat-magazine-ugg,true,OJAT,Fashion,2022,,OJAT for UGG & AGE @shinsegae
ojat-magazine-bomi,true,OJAT,Fashion,2022,,OJAT for BOMI(Apink) @MAPS
ojat-magazine-breakmag,true,OJAT,Fashion,2022,,OJAT for BREAK MAGAZINE
ojat-magazine-cakemag,true,OJAT,Fashion,2022,,OJAT for CAKE MAGAZINE
poster-2026-kyuto31,true,GRAPHIC,GRAPHIC,2026,,BIRTHDAY VISUALS for KYUTO
poster-2025-kyuto30,true,GRAPHIC,GRAPHIC,2025,,BIRTHDAY VISUALS for KYUTO
poster-2025-hanni,true,GRAPHIC,GRAPHIC,2024,,BIRTHDAY VISUALS for JONGIN
album-cover-lack,true,GRAPHIC,GRAPHIC,2025,,ALBUM COVER for LACK
album-cover-crane,true,GRAPHIC,GRAPHIC,2025,,ALBUM COVER for CRANE
album-cover-laegyu,false,GRAPHIC,GRAPHIC,2024,,ALBUM COVER for LAEGYU
